itemId,title,genres,embedding
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,"-0.003236960619688,-0.0039269672706723,-0.0017243658658117,-0.0019851974211633,-0.0001028525803121,-0.0060914778150618,-0.0067060152068734,-0.0019221073016524,0.0086845243349671,-0.0017678367439657"
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"-0.0006855156389065,0.0025817761197686,-0.0013635212089866,0.010662754997611,0.0012685810215771,-0.0037908141966909,-0.0072661330923438,0.0118171218782663,0.0072336215525865,-0.0132224075496197"
84152,Limitless (2011),Sci-Fi|Thriller,"0.0004065149696543,-0.0087132109329104,-0.0116162449121475,-0.0095589319244027,-0.0023555057123303,-0.0132384356111288,-0.0056725419126451,-0.0039767455309629,0.0011270840186625,-0.0029718664009124"
3717,Gone in 60 Seconds (2000),Action|Crime,"0.0028309242334216,0.0051739611662924,0.0047031003050506,-0.0029829540289938,0.0020090464968234,-0.0193572547286749,0.0100575368851423,0.0321035534143448,-0.0058742077089846,-0.0178200639784336"
3238,Eye of the Beholder (1999),Thriller,"-0.0063329371623694,0.0010362264001742,0.0002411511086393,-0.0015066114719957,-0.0007173535996116,-0.009974998421967,-0.005907320883125,-0.0015546886716038,0.0006572714191861,-0.0112990820780396"
5419,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,"-0.0091715743765234,-0.0029112675692886,-0.0039383796975016,0.0038732208777219,-0.0003879285650327,-0.0013341894373297,0.0025096065364778,0.0111762778833508,0.0239716600626707,-0.0158176030963659"
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,"-0.0008790094288997,0.0083744125440716,-0.0239013973623514,-0.0023793983273208,-0.0199446454644203,0.004760849289596,0.0092573938891291,-0.0011937130475416,-0.007076330948621,-0.0092573855072259"
87413,Bernie (1996),Comedy|Drama,"-0.001051286002621,0.0013249386101961,-0.0002462249249219,0.0047598839737474,-0.0024505918845534,-0.0070246383547782,-0.0075050252489745,-0.0073646088130772,0.0105105089023709,-3.71811038348824e-05"
2640,Superman (1978),Action|Adventure|Sci-Fi,"-0.0030495522078126,-0.0031572927255183,0.0024845064617693,0.0121326120570302,0.0049351416528224,0.0124224023893476,-0.0142065742984414,-0.0055896858684718,-0.0151873147115111,-0.0012440921273082"
237,Forget Paris (1995),Comedy|Romance,"-0.0155682805925608,0.0040972363203764,-0.0002200861636083,0.0029542956035584,0.0026235650293529,-0.0026068692095577,-0.0061802281998097,0.0082989213988184,-0.001412933692336,-0.0043769036419689"
