itemId,title,genres,embedding
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance,"0.0497656390070915,0.0149445906281471,0.0169717147946358,-0.0041358657181263,-0.0117016760632396,-0.0199343282729387,-0.0052801393903791,-0.0039945649914443,0.0415831208229065,0.0167749915271997,-0.0122684640809894,-0.0344504676759243,-0.0027421319391578,0.0067664780654013,0.0027258878108114,-0.0429643355309963,-0.0484703443944454,0.0087960194796323,0.011559366248548,0.009129867888987,-2.73314599326113e-05,0.0129203153774142,-0.0009437450789846,-0.0108657078817487,-0.0062582711689174,0.0142366299405694,0.049652349203825,0.0190563481301069,0.0020900694653391,0.0394518822431564,0.0149879436939955,-0.0081530520692467,-0.0200200043618679,-0.0079014236107468,0.0051631261594593,0.0014377096667885,0.0014329217374324,-0.0214201398193836,0.006036446429789,0.0131015600636601,-0.0038913849275559,-0.0576195940375328,0.0357256792485714,-0.0192031115293503,0.0297244358807802,-0.042471032589674,-0.0013132224557921,0.0024240813218057,0.0335635393857956,-0.0389266535639763,0.0249426122754812,0.0144409546628594,-0.0018788031302392,0.0113864783197641,-0.0332546047866344,0.0236097127199173,-0.0277282055467367,-0.0256818272173405,-0.0182699896395206,0.0309142414480448,-0.0036778915673494,-0.0282003674656153,0.0004945003311149,0.0235057882964611,0.0033211992122232,-0.0075191501528024,0.0221597403287888,-0.0297201182693243,-0.0451554656028748,0.0005689141107723,0.0171197541058064,0.0159670207649469,-0.0169349778443575,-6.70582012389787e-05,0.0102114658802748,-0.015733914449811,0.003007821040228,-0.0113910110667348,0.0376312173902988,-0.0115123493596911,-0.0171948056668043,0.0351556241512299,0.0304814614355564,-0.0183731466531754,-0.0443146154284477,0.0113057447597384,0.0176105014979839,0.0084714284166693,-0.0210589338093996,0.042573157697916,-0.010720175690949,-0.0046468549408018,-0.0119369812309742,0.0200545340776443,-0.0170454438775778,-0.0275393668562174,-0.0441444851458073,-0.01925153657794,-0.0093371197581291,0.0264700166881084"
367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy,"-0.013054683804512,-0.010599298402667,-0.0204129628837109,0.0588370747864246,-0.067535936832428,0.0034796998370438,0.0236993636935949,-0.0403360687196255,0.0148766208440065,0.0297026596963406,-0.0283461268991232,0.0181812644004822,-0.0052421852014958,-0.0057069547474384,-0.0140956779941916,-0.0116581991314888,0.0533359013497829,-0.0009223251254297,-0.0112629346549511,-0.0234078783541918,0.0414784476161003,0.0051615377888083,0.0330631509423256,-0.0028251092880964,-0.0149128530174494,-0.0203352812677622,-0.0006774133071303,-0.0300833284854889,-0.0119552770629525,-0.0337001606822014,0.0394116565585136,-0.0074331904761493,-0.0250044539570808,-0.0025394624099135,0.0274880044162273,0.0128806792199612,-0.0308004282414913,0.0043595191091299,-0.0204437971115112,0.0353366658091545,-0.0306222792714834,-0.0092990174889564,0.0333626195788383,0.0131963482126594,0.0478934422135353,0.0066552814096212,0.0067635658197104,-0.0329507440328598,0.0093771191313862,0.0351667739450932,0.0160873830318451,0.0004501254588831,0.006311064120382,-0.0089825103059411,-0.0196958985179663,0.0158707704395056,-0.0301526747643948,-0.0176183097064495,0.0219211112707853,0.0239540431648493,-0.0207906272262335,0.0121688526123762,0.0244407542049885,0.0057240216992795,-0.0006208085105754,0.0499816089868546,-0.0322235561907291,0.0271379388868809,0.0205524191260338,-0.0185463111847639,-0.0671891048550606,-0.0091248257085681,0.0371882654726505,-0.0288204420357943,0.008956553414464,0.0432534292340279,0.0255738943815231,0.0029486455023288,-0.0048415851779282,0.0438112579286098,0.0168155990540981,0.0214932840317488,0.0333554372191429,-0.0172725636512041,-0.0358335897326469,0.0554240792989731,0.0065934895537793,0.0271630454808474,0.0335547178983688,-0.0194339118897915,-0.0058520203456282,-0.0254949368536472,-0.0050150407478213,0.0163976978510618,-0.0336883775889874,-0.0164113286882639,0.0171861760318279,0.0047648907639086,-0.0268342960625887,0.0038108641747385"
84152,Limitless (2011),Sci-Fi|Thriller,"0.0131175639107823,0.0081614516675472,0.0003225376422051,-0.0135904233902693,-0.0130384424701333,-0.0003255213377997,-0.0228175632655621,-0.0151974456384778,0.0014146455796435,-0.0046926056966185,-0.0314937122166157,0.0418208353221416,0.0314810462296009,-0.0458010658621788,-0.005343718919903,-0.044832319021225,-0.0492685288190842,0.0067881699651479,0.0418032631278038,-0.0017026963178068,-0.0439587570726871,-0.0162317976355553,-0.0307478848844767,0.0387658961117268,-0.0213742684572935,-0.0451634749770164,0.0400082468986511,0.0075164679437875,0.0168702732771635,0.0129301231354475,0.0264557562768459,-0.0482139885425568,-0.0045920419506728,-0.0320657752454281,-0.0292336661368608,0.0030781645327806,-0.0239771716296673,0.010513860732317,0.0175692122429609,0.0028470493853092,0.0162774380296469,0.0402603633701801,0.0093833841383457,0.0228578336536884,-0.0425946079194546,0.0047016888856887,-0.0203566085547209,-0.0077583366073668,0.0735030174255371,-0.0183238442987204,-0.0115016810595989,0.033587209880352,0.0055210478603839,-0.0065503879450261,0.0379671342670918,0.0508725829422474,-0.0260375756770372,-0.0201418343931437,0.0093475226312875,-0.0080567449331283,0.0172593574970961,0.0026995306834578,-0.0073258029296994,-0.0290683973580599,-0.0186718013137579,-0.0349553748965263,-0.0064819580875337,0.0452750362455845,-0.0320279933512211,0.0122160203754902,-0.0393423289060593,0.0360323041677475,0.0148700624704361,-0.0718148425221443,-0.0162977147847414,-0.0019877827726304,-0.0141209559515119,0.0013176756910979,0.0254570227116346,0.0112941740080714,0.0074476171284914,-0.0135775487869978,0.0231746081262827,0.0088822301477193,-0.036710474640131,0.0120691666379571,-0.0068022855557501,-0.0165853872895241,0.0058599412441253,0.0476710200309753,0.0041613331995904,-0.0039614434354007,0.0253600850701332,-0.00020479883824,-0.0144099975004792,-0.0335468202829361,-0.0011172919766977,0.024737361818552,0.0163950435817242,0.0442864075303078"
3717,Gone in 60 Seconds (2000),Action|Crime,"0.0097705349326133,-0.0615105405449867,0.0559910908341408,0.0273195467889309,0.0018470684299245,0.014167164452374,0.0344561003148556,0.043381080031395,0.0258043725043535,0.0456216558814049,-0.0246929638087749,0.0275895874947309,0.0305638760328293,0.0038614131044596,-0.0205328445881605,0.0010439214529469,0.0069255540147423,0.0336379036307335,-0.0397164933383465,-0.0270237140357494,-0.0314262174069881,-0.0076280045323073,-0.0298778377473354,-0.0256071761250496,0.0280681233853102,0.0145578132942319,0.0574344545602798,0.0266877394169569,0.0070747788995504,-0.057450745254755,-0.0085932649672031,0.0526110865175724,0.0086335754022002,-0.0052789091132581,0.0028890487737953,0.0038202113937586,0.0287223216146231,0.0286060590296984,0.0226916931569576,-0.0313171930611134,0.0120401252061129,0.0519829019904137,0.0197041295468807,0.0498171299695969,0.017409635707736,0.0324723534286022,0.011385721154511,-0.0361579470336437,0.022507643327117,0.0126105211675167,-0.0747617930173874,0.0232969149947166,0.0027487017214298,0.0283728577196598,-0.0105455778539181,0.086282454431057,0.0634194612503052,0.0373972617089748,-0.0215313769876957,-0.0420402437448502,-0.0383905172348022,0.073386438190937,0.0111479004845023,-0.0139012085273862,-0.0330712646245956,0.0065185124985873,-0.0946068987250328,0.0149550335481763,-0.027495950460434,0.0772496908903122,-0.0282633062452078,-0.0090194819495081,0.0201383251696825,0.0291543398052454,0.041499562561512,0.0399137288331985,0.0098752444609999,0.0274364072829485,-0.0229542590677738,-0.015011795796454,-0.0034235450439155,-0.0002527673495933,0.0307812057435513,-0.0624798983335495,-0.0013033909490332,0.0135510601103306,0.0035232156515121,0.0082031683996319,-0.018249524757266,0.0002705454244278,-0.0037076221778988,-0.0180961918085814,0.0191249866038561,-0.03417132422328,-0.0881048440933228,-0.0022315506357699,-0.0017656815471127,-0.0626505985856056,-0.0416530035436153,-0.0502615980803967"
3238,Eye of the Beholder (1999),Thriller,"0.0257247146219015,-0.0293345469981432,0.0242665223777294,-0.0315086916089058,0.0116858202964067,0.0121853882446885,0.0093198297545313,0.0145181408151984,0.0627325624227524,-0.0232678595930338,0.0276233348995447,0.0035067417193204,-0.0114963995292783,0.0451178327202797,-0.0330196805298328,-0.0519898720085621,0.0141845671460032,-0.0070989113301038,-0.0274722203612328,0.0134677914902568,-0.0217330381274223,-0.0590681359171867,-0.0131788989529014,-0.0442017056047916,0.0783165395259857,0.0187783557921648,0.0292604230344296,-0.0050074732862412,0.0178234428167343,-0.0021132887341082,0.0148233203217387,0.0168579444289207,0.0244170315563679,-0.0313451141119003,0.0037027073558419,-0.0210334416478872,-0.0355943478643894,-0.0189547371119261,-0.0283013004809618,0.0051190434023737,-0.0041492548771202,0.0321927852928638,0.0378220900893211,-0.0339180044829845,0.0605851262807846,0.0529177747666836,-0.0073694540187716,-0.0039847432635724,0.0037511456757783,0.0018470629584044,-0.0475194156169891,0.0338915660977364,-0.001127911848016,0.0467733480036259,-0.0194275006651878,0.0303531475365162,0.0220307875424623,-0.0059854933060705,0.0059267710894346,0.059569388628006,-0.0153343360871077,-0.0112756667658687,0.0391954593360424,-0.0299943555146456,0.0580596998333931,-0.0109224207699299,0.014173193834722,0.0384250245988369,-0.0399347767233849,0.0057666874490678,-0.0289486758410931,-0.0269851628690958,0.0304903257638216,-0.0112069780007005,0.0439036414027214,0.0328366607427597,-0.0394859313964844,-0.0214253477752209,-0.0179196130484343,0.0106597598642111,-0.0052237082272768,0.007264498155564,-0.0180878639221191,-0.0415488071739674,0.0045503308065235,0.0321522690355778,-0.0256304405629635,0.0261365156620741,-0.0055667790584266,0.0326363556087017,-0.0159879252314568,0.0343833155930042,0.0067222076468169,-0.0671209171414375,-0.0166768357157707,-0.0036616318393498,-0.0119402334094048,0.0054937503300607,0.0072821453213691,0.034014455974102"
5419,Scooby-Doo (2002),Adventure|Children|Comedy|Fantasy|Mystery,"0.0243866574019194,-0.0139596369117498,-0.0129905343055725,0.0338769480586052,-0.023758951574564,0.0149552915245295,0.0373919121921062,-0.0396231710910797,0.0135833220556378,0.0145217049866915,0.0346408188343048,-0.0135159157216549,0.0320208556950092,-0.0057235197164118,-0.0117576718330383,0.0266484767198563,-0.0239778459072113,-0.0053473748266696,-0.0005448095616884,0.0035026655532419,0.0142019353806973,0.0629776790738106,0.019131125882268,0.0153599707409739,-0.0147438328713179,0.0176800582557917,-0.0391249284148216,0.006234532687813,0.003158793086186,-0.0224009025841951,0.0065370998345315,-0.023896511644125,0.0108718937262893,0.0122880470007658,0.0060134436935186,-0.0099341878667473,-0.0308631230145693,-0.0039758183993399,0.0027892785146832,0.0207633934915066,-0.0313456133008003,-0.0104988031089306,0.0134981628507376,0.0126424515619874,0.0593265220522881,-0.0087516801431775,0.025299085304141,-0.0321960188448429,0.0141603657975793,-0.0060154879465699,0.0027924014721065,0.0095688300207257,-0.0142094157636166,0.004563795402646,0.0532743148505688,0.0340097770094872,0.0061568114906549,0.0133715635165572,0.0039864578284323,-0.0300970040261745,0.0092529216781258,-0.0468715354800224,0.0118286786600947,0.0022759765852242,0.0148441093042493,0.0256437063217163,-0.0149790551513433,0.0318764336407185,0.0167836248874664,-0.0340199954807758,-0.0216601192951202,-0.0067363115958869,0.0199166815727949,-0.0241166222840548,0.0401360206305981,0.0460044853389263,0.0137399910017848,-0.0595188997685909,-0.0437985919415951,0.0198875889182091,-0.0046884161420166,0.0081697525456547,0.0173698011785746,-0.0316997617483139,-0.102984353899956,0.0050638793036341,-0.0001934691244969,-0.0075309467501938,0.0183449685573578,-0.0098126241937279,-0.0137888714671135,-0.0239573214203119,0.0394508689641953,0.0262309052050114,-0.0728949680924416,-0.0257742144167423,-0.009353807196021,-0.0063489135354757,-0.0086522158235311,-0.0039525828324258"
5313,The Scorpion King (2002),Action|Adventure|Fantasy|Thriller,"0.0056786239147186,0.0721964910626411,-0.0198266506195068,0.028254022821784,0.0273525454103947,-0.0346480458974838,0.0176556743681431,-0.0004256246029399,-0.0148147372528911,-0.0061521511524915,-0.0592622235417366,0.0340407080948353,0.0185909513384104,0.0626463815569878,-0.0046208570711314,-0.0236316751688719,-0.0774930268526077,-0.0256847124546766,-0.0396546386182308,-0.0495540760457516,0.0003736021462827,0.0100950514897704,0.045457299798727,0.0216936133801937,0.0231403801590204,0.0289577227085829,0.0390831455588341,0.0490516275167465,0.0310038216412067,-0.0466057471930981,-0.0759586691856384,-0.0069909174926579,-0.0775005295872688,0.0366486124694347,-0.0892075449228287,-0.018644031137228,0.0264551118016243,0.0201814118772745,0.0311214104294777,0.0025011848192662,-0.0062576653435826,0.0546497143805027,-0.022071985527873,0.0304535441100597,-0.0293206758797169,-0.0065550068393349,-0.0676024034619331,0.0113180577754974,-0.0004898845800198,0.0147937703877687,-0.0303537175059319,-0.0348844602704048,0.0331744216382504,0.0197572410106659,0.0339631997048855,0.0405847430229187,0.0160075016319752,-0.0241044852882624,-0.083576612174511,0.005423133727163,-0.0131916915997863,-0.0239881537854671,-0.0129112098366022,-0.0963486135005951,-0.0033006144221872,-0.0864599496126175,-0.0612083822488785,0.0511731915175915,-0.0475203208625317,0.0478686057031155,-0.0830482169985771,-0.0230618491768837,-0.0728557780385017,-0.0653472691774368,0.0106987664476037,-0.0071668620221316,0.0335273817181587,-0.019700089469552,-0.0568576604127884,-0.089308001101017,-0.0037700249813497,-0.0348063856363297,-0.0777505934238434,-0.10262656211853,0.025033513084054,0.0758158937096596,0.0102598546072841,0.0014547155005857,0.0134704736992717,-0.0533539801836014,0.0102253137156367,0.0441152900457382,0.0167238563299179,0.0164566989988089,0.0270022824406624,0.020464850589633,0.0261565558612347,0.0135490614920855,0.0077793495729565,0.0281081944704056"
87413,Bernie (1996),Comedy|Drama,"-0.0010429566027596,-0.0023835320025682,0.0247798375785351,-0.0305128283798695,-0.009329829365015,-0.0249760206788778,0.0097716394811868,-0.0238015428185463,0.0658705309033394,-0.0324582457542419,-0.0307982936501503,0.0277826841920614,0.0228497385978699,-0.0242097862064838,-0.0087164510041475,0.0262154955416918,-0.013543595559895,-0.0082187028601765,0.0232304148375988,-0.0355383045971394,0.0095674656331539,-0.0093788774684071,-0.001855761394836,-0.0039185774512589,-0.011716871522367,0.0136272553354502,0.0121836606413126,-0.0159882158041,0.0137317311018705,0.0540455207228661,0.0135566517710686,0.0078435121104121,-0.0267694555222988,0.0389015525579453,-0.0289011374115944,-0.0640610828995705,-0.0252876132726669,-0.0003898616414517,-0.0074679274111986,0.0441781468689442,-0.039436686784029,0.0524722188711166,-0.0011491546174511,-0.0059319883584976,-0.0174725167453289,0.0126297706738114,0.0067792949266731,0.0420540943741798,0.0001140909589594,-0.0187225788831711,0.0179713983088732,-0.026031231507659,0.0084176752716302,-0.0158583652228117,0.0181680712848902,0.0196561366319656,0.0241415873169899,-0.0198849830776453,0.0009450489305891,0.0260168462991714,0.0326795503497124,-0.0025076963938772,-0.0549885928630829,-0.024001058191061,-0.0060961139388382,-0.0100754983723164,0.0262119136750698,0.0217637754976749,0.0305339228361845,0.0123055167496204,-0.0375166423618793,0.0347146801650524,-0.0092974565923214,-0.0004386440850794,0.030431754887104,1.84336822712794e-05,0.0376450382173061,-0.0278691425919533,0.0405393280088902,0.0328562930226326,0.0298359524458647,0.0175627209246159,0.0057628215290606,0.041701678186655,-0.0204099416732788,0.0073896935209631,0.0234052035957575,-0.0434350296854973,-0.0161767397075891,0.0286999754607677,-0.0126904966309667,-0.0492492653429508,-0.0049838372506201,0.0266637690365314,0.0048672179691493,-0.0370657183229923,-0.0282140541821718,0.0386247672140598,0.0019009810639545,0.03413912281394"
2640,Superman (1978),Action|Adventure|Sci-Fi,"0.0385158583521843,0.0287900045514107,-0.0216218549758196,-0.0130355097353458,-0.0247081238776445,0.0038933588657528,-0.0223159305751324,-0.0190028939396143,0.0088846841827035,0.0308344438672066,-0.0250317510217428,-0.0158652402460575,0.0376440398395061,-0.0119307916611433,0.0255493856966496,0.0148538229987025,0.0093010431155562,0.032938476651907,0.0354641079902649,-0.0173750370740891,-0.0182320699095726,0.0332073196768761,0.0279533937573433,-0.0257017761468887,0.0529867894947529,-0.061388224363327,0.0454196706414223,0.0280415341258049,-0.0197350569069386,-0.0571240000426769,-0.0111515019088984,-0.0510682128369808,-0.0328410863876343,0.0429220348596573,0.0380634181201458,-0.0186089854687452,0.0031770148780196,0.0609395019710064,-0.0178977269679308,-0.0142275150865316,-0.0363005176186562,0.0071860305033624,0.0439146310091019,0.0195201002061367,0.0263357907533646,0.0151320798322558,0.0299356002360582,0.0100906332954764,-0.0426345430314541,0.0010561352828517,0.0091189537197351,-0.0066413893364369,0.0212391503155231,-0.0226564146578312,0.0204773675650358,0.0178941953927279,0.0018657643813639,0.0572823025286198,0.0245627462863922,0.0126752080395818,-0.0085214003920555,0.0032588322646915,0.0011944415746256,-0.0682641789317131,0.038680836558342,-0.0320415943861008,-0.0115136504173279,-0.0204708930104971,-0.0219043176621199,-0.0339369662106037,0.0102359196171165,0.0113769918680191,-0.0186630748212337,-0.0082635106518864,0.0227966606616974,-0.0216030906885862,-0.0422056764364243,0.0097573762759566,-0.0584218576550484,0.0024077096022665,-0.0563486889004707,-0.0197102967649698,-0.0589220598340034,0.0216896310448647,-0.0809427052736282,0.0246891677379608,-0.003324226476252,0.0681290924549103,-0.0377421751618385,0.03609699010849,0.0643026232719421,0.0069866529665887,-0.0755404382944107,0.0193664245307446,0.0812152922153473,0.0077132983133196,0.0741521045565605,-0.0315674170851707,-0.0572194829583168,0.013112866319716"
237,Forget Paris (1995),Comedy|Romance,"0.0410435535013676,0.0148305157199502,-0.0109325097873807,-0.016015537083149,-0.0239414162933826,0.0101577993482351,0.0024990851525217,0.0146221565082669,0.0012494839029386,-0.0064000645652413,0.0067502101883292,-0.0279505383223295,-0.0038636210374534,-0.0261583030223846,-0.0047373296692967,-0.0350479818880558,0.0398608446121216,0.0028026315849274,0.037549801170826,-0.0368488430976868,0.0205876957625151,-0.0091750966385006,-0.057029090821743,-0.0183416157960892,-0.0019840213935822,-0.0357241593301296,-0.0024295987095683,0.0534892305731773,-0.0524254404008389,-0.030577914789319,0.0213646963238716,-0.0027389535680413,0.0053474316373467,-0.0044649946503341,0.0077887140214443,0.0365758091211319,-0.0020367631223052,0.0121955471113324,-0.027428038418293,-0.0029209211934357,-0.0040360554121434,-0.028926407918334,-0.0091182338073849,0.0097128869965672,-0.0421247035264969,-0.0025720337871462,-0.0064410436898469,-0.011567234992981,-0.0106832273304462,-0.0558200962841511,-0.006264810450375,0.04345528408885,-0.0019197427900508,-0.0589506216347218,0.0064143012277782,0.0247942451387644,-0.0239117164164782,-0.0384026207029819,0.0061111282557249,-0.0143092274665833,0.0125882737338543,0.000720711890608,0.0040976791642606,-0.0361833423376083,-0.0082603022456169,-0.031929824501276,-0.0329671129584312,-0.0182207301259041,0.0424397885799408,0.0205747243016958,0.0363589003682137,-0.0446462593972683,-0.0200445298105478,-0.0092870900407433,0.0027981603052467,-0.0104119526222348,0.0238917544484138,0.0515503622591496,-0.021169675514102,-0.046534787863493,0.0170866120606661,0.029700031504035,0.037775345146656,-0.0273213610053062,-0.0235759560018778,-0.0253724660724401,-0.0014787330292165,-0.013459974899888,0.0478512458503246,-0.0152983451262116,-0.0027976441197097,-0.0604853108525276,-0.0175169706344604,-0.0025605224072933,0.0050672516226768,-0.0368892922997475,-0.0048947487957775,0.0216381326317787,-0.0186635851860046,-0.0079587223008275"
